GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java-RD,com.epam.exception,BatchException,0,4,0,0,0,2,0,1,0,1
Java-RD,com.epam.exception,AssociateException,0,4,0,0,0,2,0,1,0,1
Java-RD,com.epam.controllers,AssociateController,0,121,0,0,0,36,0,7,0,7
Java-RD,com.epam.controllers,BatchController,0,34,0,0,0,10,0,3,0,3
Java-RD,com.epam.entities,Batches,221,80,48,0,0,11,28,15,4,15
Java-RD,com.epam.entities,Gender,0,15,0,0,0,3,0,1,0,1
Java-RD,com.epam.entities,Associates,254,80,56,0,0,11,32,17,4,17
Java-RD,com.epam.entities,Status,0,15,0,0,0,3,0,1,0,1
Java-RD,com.epam.entities,Batches.BatchesBuilder,19,44,0,0,0,1,2,7,2,7
Java-RD,com.epam.entities,Associates.AssociatesBuilder,26,46,0,0,0,1,3,7,3,7
Java-RD,com.epam.entities,Practice,0,33,0,0,0,6,0,1,0,1
Java-RD,com.epam.config,OpenAPiConfig,0,3,0,0,0,1,0,1,0,1
Java-RD,com.epam.services.implementations,AssociateServiceImpl,13,196,0,0,0,46,2,9,2,9
Java-RD,com.epam.services.implementations,BatchServiceImpl,0,29,0,0,0,7,0,3,0,3
Java-RD,com.epam.handler,GlobalExceptionHandler,0,98,0,0,0,19,0,7,0,7
Java-RD,com.epam.util,BatchUtil,0,44,0,0,0,16,0,2,0,2
Java-RD,com.epam.util,AssociateUtil,26,60,7,1,0,19,7,3,3,3
Java-RD,com.epam,JavaRdApplication,5,3,0,0,2,1,1,1,1,1
Java-RD,com.epam.dtos,APIResponse,100,25,22,0,0,4,16,5,5,5
Java-RD,com.epam.dtos,ErrorResponse.ErrorResponseBuilder,13,23,0,0,0,1,2,4,2,4
Java-RD,com.epam.dtos,AssociateResponse,142,192,40,16,0,11,29,20,1,20
Java-RD,com.epam.dtos,ErrorResponse,0,25,0,0,0,5,0,5,0,5
Java-RD,com.epam.dtos,AssociateResponse.AssociateResponseBuilder,21,51,0,0,0,1,2,8,2,8
Java-RD,com.epam.dtos,AssociateRequest,137,129,34,14,0,7,26,15,2,15
Java-RD,com.epam.dtos,BatchResponse.BatchResponseBuilder,14,49,0,0,0,1,1,8,1,8
Java-RD,com.epam.dtos,FieldError,0,19,0,0,0,4,0,4,0,4
Java-RD,com.epam.dtos,BatchResponse,137,164,34,14,0,10,26,17,2,17
Java-RD,com.epam.dtos,BatchRequest,154,41,38,0,0,5,22,10,3,10
Java-RD,com.epam.dtos,FieldError.FieldErrorBuilder,11,16,0,0,0,1,2,3,2,3
Java-RD,com.epam.dtos,APIResponse.APIResponseBuilder,6,21,0,0,0,1,1,4,1,4
